species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009
Adelie,Biscoe,37.9,18.6,193,2925,female,2009
Adelie,Torgersen,39,17.1,191,3050,female,2009
Chinstrap,Dream,47.6,18.3,195,3850,female,2008
Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
Adelie,Biscoe,43.2,19,197,4775,male,2009
Adelie,Dream,38.9,18.8,190,3600,female,2008
Adelie,Torgersen,NA,NA,NA,NA,NA,2007
Adelie,Dream,39.2,21.1,196,4150,male,2007
Chinstrap,Dream,42.4,17.3,181,3600,female,2007
Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
Adelie,Torgersen,39.2,19.6,195,4675,male,2007
Adelie,Dream,39.5,17.8,188,3300,female,2007
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
Adelie,Torgersen,35.2,15.9,186,3050,female,2009
Gentoo,Biscoe,50.7,15,223,5550,male,2008
Gentoo,Biscoe,49.9,16.1,213,5400,male,2009
Adelie,Torgersen,37.2,19.4,184,3900,male,2008
Gentoo,Biscoe,43.3,14,208,4575,female,2009
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
Adelie,Torgersen,36.7,18.8,187,3800,female,2008
Adelie,Biscoe,35.3,18.9,187,3800,female,2007
Adelie,Dream,39.6,18.1,186,4450,male,2008
Chinstrap,Dream,46.2,17.5,187,3650,female,2008
Adelie,Dream,40.7,17,190,3725,male,2009
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
Adelie,Torgersen,36.6,17.8,185,3700,female,2007
Chinstrap,Dream,51.4,19,201,3950,male,2009
Adelie,Torgersen,38.6,21.2,191,3800,male,2007
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
Adelie,Torgersen,37.7,19.8,198,3500,male,2009
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
Adelie,Torgersen,40.6,19,199,4000,male,2009
